col_0;symbolindex;instrumenttradingcode;LastTradedPrice;ProduceTime;col_6
;8403017;KG00BD1RP616;4,085;1.60742E+18;
;8403017;KG00BD1RP616;4,085;1.60742E+18;
;8403017;KG00BD1RP616;4,079;1.60742E+18;
;8403017;KG00BD1RP616;4,079;1.60742E+18;
;8403017;KG00BD1RP616;4,072;1.60742E+18;
;8403017;KG00BD1RP616;4,059;1.60742E+18;
;8403017;KG00BD1RP616;4,069;1.60742E+18;
;8403017;KG00BD1RP616;4,085;1.60742E+18;
;8403017;KG00BD1RP616;4,087;1.60742E+18;
;8403017;KG00BD1RP616;4,09;1.60742E+18;
;8403017;KG00BD1RP616;4,079;1.60742E+18;
;8403017;KG00BD1RP616;4,077;1.60742E+18;
;8403017;KG00BD1RP616;4,077;1.60742E+18;
;8403017;KG00BD1RP616;4,077;1.60742E+18;
;8403017;KG00BD1RP616;4,077;1.60742E+18;
;8403017;KG00BD1RP616;4,077;1.60742E+18;
;8403017;KG00BD1RP616;4,074;1.60742E+18;
;8403017;KG00BD1RP616;4,074;1.60742E+18;
;8403017;KG00BD1RP616;4,069;1.60742E+18;
;8403017;KG00BD1RP616;4,069;1.60742E+18;
;8403017;KG00BD1RP616;4,069;1.60742E+18;
;8403017;KG00BD1RP616;4,077;1.60742E+18;
;8403017;KG00BD1RP616;4,077;1.60742E+18;
;8403017;KG00BD1RP616;4,079;1.60742E+18;
;8403017;KG00BD1RP616;4,079;1.60742E+18;
;8403017;KG00BD1RP616;4,079;1.60742E+18;
;8403017;KG00BD1RP616;4,077;1.60742E+18;
;8403017;KG00BD1RP616;4,077;1.60742E+18;
;8403017;KG00BD1RP616;4,077;1.60742E+18;
;8403017;KG00BD1RP616;4,077;1.60742E+18;
;8403017;KG00BD1RP616;4,074;1.60742E+18;
;8403017;KG00BD1RP616;4,074;1.60742E+18;
;8403017;KG00BD1RP616;4,072;1.60742E+18;
;8403017;KG00BD1RP616;4,069;1.60742E+18;
;8403017;KG00BD1RP616;4,069;1.60742E+18;
;8403017;KG00BD1RP616;4,069;1.60742E+18;
;8403017;KG00BD1RP616;4,067;1.60742E+18;
;8403017;KG00BD1RP616;4,067;1.60742E+18;
;8403017;KG00BD1RP616;4,067;1.60742E+18;
;8403017;KG00BD1RP616;4,067;1.60742E+18;
;8403017;KG00BD1RP616;4,067;1.60742E+18;
;8403017;KG00BD1RP616;4,067;1.60742E+18;
;8403017;KG00BD1RP616;4,072;1.60742E+18;
;8403017;KG00BD1RP616;4,072;1.60742E+18;
;8403017;KG00BD1RP616;4,072;1.60742E+18;
;8403017;KG00BD1RP616;4,095;1.60742E+18;
;8403017;KG00BD1RP616;4,092;1.60742E+18;
;8403017;KG00BD1RP616;4,092;1.60742E+18;
;8403017;KG00BD1RP616;4,09;1.60742E+18;
;8403017;KG00BD1RP616;4,09;1.60742E+18;
;8403017;KG00BD1RP616;4,09;1.60742E+18;
;8403017;KG00BD1RP616;4,09;1.60742E+18;
;8403017;KG00BD1RP616;4,087;1.60742E+18;
;8403017;KG00BD1RP616;4,087;1.60742E+18;
;8403017;KG00BD1RP616;4,087;1.60742E+18;
;8403017;KG00BD1RP616;4,085;1.60742E+18;
;8403017;KG00BD1RP616;4,082;1.60742E+18;
;8403017;KG00BD1RP616;4,087;1.60742E+18;
;8403017;KG00BD1RP616;4,082;1.60742E+18;
;8403017;KG00BD1RP616;4,082;1.60742E+18;
;8403017;KG00BD1RP616;4,082;1.60742E+18;
;8403017;KG00BD1RP616;4,082;1.60742E+18;
;8403017;KG00BD1RP616;4,085;1.60742E+18;
;8403017;KG00BD1RP616;4,085;1.60742E+18;
;8403017;KG00BD1RP616;4,085;1.60742E+18;
;8403017;KG00BD1RP616;4,085;1.60742E+18;
;8403017;KG00BD1RP616;4,082;1.60742E+18;
;8403017;KG00BD1RP616;4,082;1.60742E+18;
;8403017;KG00BD1RP616;4,079;1.60742E+18;
;8403017;KG00BD1RP616;4,079;1.60742E+18;
;8403017;KG00BD1RP616;4,079;1.60742E+18;
;8403017;KG00BD1RP616;4,085;1.60742E+18;
;8403017;KG00BD1RP616;4,085;1.60742E+18;
;8403017;KG00BD1RP616;4,082;1.60742E+18;
;8403017;KG00BD1RP616;4,082;1.60742E+18;
;8403017;KG00BD1RP616;4,077;1.60742E+18;
;8403017;KG00BD1RP616;4,085;1.60742E+18;
;8403017;KG00BD1RP616;4,085;1.60742E+18;
;8403017;KG00BD1RP616;4,082;1.60742E+18;
;8403017;KG00BD1RP616;4,077;1.60742E+18;
;8403017;KG00BD1RP616;4,077;1.60742E+18;
;8403017;KG00BD1RP616;4,082;1.60742E+18;
;8403017;KG00BD1RP616;4,082;1.60742E+18;
;8403017;KG00BD1RP616;4,077;1.60742E+18;
;8403017;KG00BD1RP616;4,077;1.60742E+18;
;8403017;KG00BD1RP616;4,077;1.60742E+18;
;8403017;KG00BD1RP616;4,077;1.60742E+18;
;8403017;KG00BD1RP616;4,074;1.60742E+18;
;8403017;KG00BD1RP616;4,074;1.60742E+18;
;8403017;KG00BD1RP616;4,085;1.60742E+18;
;8403017;KG00BD1RP616;4,085;1.60742E+18;
;8403017;KG00BD1RP616;4,085;1.60742E+18;
;8403017;KG00BD1RP616;4,085;1.60742E+18;
;8403017;KG00BD1RP616;4,085;1.60742E+18;
;8403017;KG00BD1RP616;4,085;1.60742E+18;
;8403017;KG00BD1RP616;4,085;1.60742E+18;
;8403017;KG00BD1RP616;4,082;1.60742E+18;
;8403017;KG00BD1RP616;4,082;1.60742E+18;
;8403017;KG00BD1RP616;4,082;1.60742E+18;
;8403017;KG00BD1RP616;4,079;1.60742E+18;
;8403017;KG00BD1RP616;4,077;1.60742E+18;
;8403017;KG00BD1RP616;4,077;1.60742E+18;
;8403017;KG00BD1RP616;4,074;1.60742E+18;
;8403017;KG00BD1RP616;4,074;1.60742E+18;
;8403017;KG00BD1RP616;4,074;1.60742E+18;
;8403017;KG00BD1RP616;4,074;1.60742E+18;
;8403017;KG00BD1RP616;4,074;1.60742E+18;
;8403017;KG00BD1RP616;4,074;1.60742E+18;
;8403017;KG00BD1RP616;4,074;1.60742E+18;
;8403017;KG00BD1RP616;4,074;1.60742E+18;
;8403017;KG00BD1RP616;4,067;1.60742E+18;
;8403017;KG00BD1RP616;4,067;1.60742E+18;
;8403017;KG00BD1RP616;4,067;1.60742E+18;
;8403017;KG00BD1RP616;4,067;1.60742E+18;
;8403017;KG00BD1RP616;4,067;1.60742E+18;
;8403017;KG00BD1RP616;4,067;1.60742E+18;
;8403017;KG00BD1RP616;4,067;1.60742E+18;
;8403017;KG00BD1RP616;4,067;1.60742E+18;
;8403017;KG00BD1RP616;4,067;1.60742E+18;
;8403017;KG00BD1RP616;4,064;1.60742E+18;
;8403017;KG00BD1RP616;4,064;1.60742E+18;
;8403017;KG00BD1RP616;4,064;1.60742E+18;
;8403017;KG00BD1RP616;4,067;1.60742E+18;
;8403017;KG00BD1RP616;4,061;1.60742E+18;
;8403017;KG00BD1RP616;4,061;1.60742E+18;
;8403017;KG00BD1RP616;4,061;1.60742E+18;
;8403017;KG00BD1RP616;4,059;1.60742E+18;
;8403017;KG00BD1RP616;4,056;1.60742E+18;
;8403017;KG00BD1RP616;4,061;1.60742E+18;
;8403017;KG00BD1RP616;4,059;1.60742E+18;
;8403017;KG00BD1RP616;4,056;1.60742E+18;
;8403017;KG00BD1RP616;4,054;1.60742E+18;
;8403017;KG00BD1RP616;4,051;1.60742E+18;
;8403017;KG00BD1RP616;4,051;1.60742E+18;
;8403017;KG00BD1RP616;4,049;1.60742E+18;
;8403017;KG00BD1RP616;4,049;1.60742E+18;
;8403017;KG00BD1RP616;4,049;1.60742E+18;
;8403017;KG00BD1RP616;4,049;1.60742E+18;
;8403017;KG00BD1RP616;4,049;1.60742E+18;
;8403017;KG00BD1RP616;4,049;1.60742E+18;
;8403017;KG00BD1RP616;4,041;1.60742E+18;
;8403017;KG00BD1RP616;4,041;1.60742E+18;
;8403017;KG00BD1RP616;4,041;1.60742E+18;
;8403017;KG00BD1RP616;4,041;1.60742E+18;
;8403017;KG00BD1RP616;4,043;1.60742E+18;
;8403017;KG00BD1RP616;4,043;1.60742E+18;
;8403017;KG00BD1RP616;4,043;1.60742E+18;
;8403017;KG00BD1RP616;4,043;1.60742E+18;
;8403017;KG00BD1RP616;4,043;1.60742E+18;
;8403017;KG00BD1RP616;4,043;1.60742E+18;
;8403017;KG00BD1RP616;4,043;1.60742E+18;
;8403017;KG00BD1RP616;4,038;1.60742E+18;
;8403017;KG00BD1RP616;4,038;1.60742E+18;
;8403017;KG00BD1RP616;4,038;1.60742E+18;
;8403017;KG00BD1RP616;4,038;1.60742E+18;
;8403017;KG00BD1RP616;4,036;1.60742E+18;
;8403017;KG00BD1RP616;4,036;1.60742E+18;
;8403017;KG00BD1RP616;4,033;1.60743E+18;
;8403017;KG00BD1RP616;4,033;1.60743E+18;
;8403017;KG00BD1RP616;4,028;1.60743E+18;
;8403017;KG00BD1RP616;4,025;1.60743E+18;
;8403017;KG00BD1RP616;4,025;1.60743E+18;
;8403017;KG00BD1RP616;4,025;1.60743E+18;
;8403017;KG00BD1RP616;4,023;1.60743E+18;
;8403017;KG00BD1RP616;4,023;1.60743E+18;
;8403017;KG00BD1RP616;4,023;1.60743E+18;
;8403017;KG00BD1RP616;4,023;1.60743E+18;
;8403017;KG00BD1RP616;4,023;1.60743E+18;
;8403017;KG00BD1RP616;4,018;1.60743E+18;
;8403017;KG00BD1RP616;4,018;1.60743E+18;
;8403017;KG00BD1RP616;4,018;1.60743E+18;
;8403017;KG00BD1RP616;4,023;1.60743E+18;
;8403017;KG00BD1RP616;4,023;1.60743E+18;
;8403017;KG00BD1RP616;4,023;1.60743E+18;
;8403017;KG00BD1RP616;4,025;1.60743E+18;
;8403017;KG00BD1RP616;4,025;1.60743E+18;
;8403017;KG00BD1RP616;4,02;1.60743E+18;
;8403017;KG00BD1RP616;4,02;1.60743E+18;
;8403017;KG00BD1RP616;4,02;1.60743E+18;
;8403017;KG00BD1RP616;4,02;1.60743E+18;
;8403017;KG00BD1RP616;4,025;1.60743E+18;
;8403017;KG00BD1RP616;4,025;1.60743E+18;
;8403017;KG00BD1RP616;4,025;1.60743E+18;
;8403017;KG00BD1RP616;4,025;1.60743E+18;
;8403017;KG00BD1RP616;4,028;1.60743E+18;
;8403017;KG00BD1RP616;4,028;1.60743E+18;
;8403017;KG00BD1RP616;4,028;1.60743E+18;
;8403017;KG00BD1RP616;4,02;1.60743E+18;
;8403017;KG00BD1RP616;4,02;1.60743E+18;
;8403017;KG00BD1RP616;4,02;1.60743E+18;
;8403017;KG00BD1RP616;4,018;1.60743E+18;
;8403017;KG00BD1RP616;4,018;1.60743E+18;
;8403017;KG00BD1RP616;4,018;1.60743E+18;
;8403017;KG00BD1RP616;4,015;1.60743E+18;
;8403017;KG00BD1RP616;4,015;1.60743E+18;
;8403017;KG00BD1RP616;4,015;1.60743E+18;
;8403017;KG00BD1RP616;4,015;1.60743E+18;
;8403017;KG00BD1RP616;4,015;1.60743E+18;
;8403017;KG00BD1RP616;4,015;1.60743E+18;
;8403017;KG00BD1RP616;4,013;1.60743E+18;
;8403017;KG00BD1RP616;4,013;1.60743E+18;
;8403017;KG00BD1RP616;4,013;1.60743E+18;
;8403017;KG00BD1RP616;4,01;1.60743E+18;
;8403017;KG00BD1RP616;4,01;1.60743E+18;
;8403017;KG00BD1RP616;4,01;1.60743E+18;
;8403017;KG00BD1RP616;4,013;1.60743E+18;
;8403017;KG00BD1RP616;4,013;1.60743E+18;
;8403017;KG00BD1RP616;4,01;1.60743E+18;
;8403017;KG00BD1RP616;4,01;1.60743E+18;
;8403017;KG00BD1RP616;4,01;1.60743E+18;
;8403017;KG00BD1RP616;4,01;1.60743E+18;
;8403017;KG00BD1RP616;4,01;1.60743E+18;
;8403017;KG00BD1RP616;4,01;1.60743E+18;
;8403017;KG00BD1RP616;4,01;1.60743E+18;
;8403017;KG00BD1RP616;4,01;1.60743E+18;
;8403017;KG00BD1RP616;4,01;1.60743E+18;
;8403017;KG00BD1RP616;4,01;1.60743E+18;
;8403017;KG00BD1RP616;4,002;1.60743E+18;
;8403017;KG00BD1RP616;4,005;1.60743E+18;
;8403017;KG00BD1RP616;4,007;1.60743E+18;
;8403017;KG00BD1RP616;4,007;1.60743E+18;
;8403017;KG00BD1RP616;4,007;1.60743E+18;
;8403017;KG00BD1RP616;4,01;1.60743E+18;
;8403017;KG00BD1RP616;4,01;1.60743E+18;
;8403017;KG00BD1RP616;4,01;1.60743E+18;
;8403017;KG00BD1RP616;4,01;1.60743E+18;
;8403017;KG00BD1RP616;4,015;1.60743E+18;
;8403017;KG00BD1RP616;4,015;1.60743E+18;
;8403017;KG00BD1RP616;4,018;1.60743E+18;
;8403017;KG00BD1RP616;4,02;1.60743E+18;
;8403017;KG00BD1RP616;4,02;1.60743E+18;
;8403017;KG00BD1RP616;4,02;1.60743E+18;
;8403017;KG00BD1RP616;4,023;1.60743E+18;
;8403017;KG00BD1RP616;4,023;1.60743E+18;
;8403017;KG00BD1RP616;4,023;1.60743E+18;
;8403017;KG00BD1RP616;4,025;1.60743E+18;
;8403017;KG00BD1RP616;4,025;1.60743E+18;
;8403017;KG00BD1RP616;4,025;1.60743E+18;
;8403017;KG00BD1RP616;4,025;1.60743E+18;
;8403017;KG00BD1RP616;4,023;1.60743E+18;
;8403017;KG00BD1RP616;4,023;1.60743E+18;
;8403017;KG00BD1RP616;4,023;1.60743E+18;
;8403017;KG00BD1RP616;4,028;1.60743E+18;
;8403017;KG00BD1RP616;4,025;1.60743E+18;
;8403017;KG00BD1RP616;4,025;1.60743E+18;
;8403017;KG00BD1RP616;4,025;1.60743E+18;
;8403017;KG00BD1RP616;4,025;1.60743E+18;
;8403017;KG00BD1RP616;4,023;1.60743E+18;
;8403017;KG00BD1RP616;4,023;1.60743E+18;
;8403017;KG00BD1RP616;4,023;1.60743E+18;
;8403017;KG00BD1RP616;4,028;1.60743E+18;
;8403017;KG00BD1RP616;4,031;1.60743E+18;
;8403017;KG00BD1RP616;4,033;1.60743E+18;
;8403017;KG00BD1RP616;4,033;1.60743E+18;
;8403017;KG00BD1RP616;4,033;1.60743E+18;
;8403017;KG00BD1RP616;4,033;1.60743E+18;
;8403017;KG00BD1RP616;4,036;1.60743E+18;
;8403017;KG00BD1RP616;4,036;1.60743E+18;
;8403017;KG00BD1RP616;4,036;1.60743E+18;
;8403017;KG00BD1RP616;4,036;1.60743E+18;
;8403017;KG00BD1RP616;4,036;1.60743E+18;
;8403017;KG00BD1RP616;4,043;1.60743E+18;
;8403017;KG00BD1RP616;4,041;1.60743E+18;
;8403017;KG00BD1RP616;4,041;1.60743E+18;
;8403017;KG00BD1RP616;4,041;1.60743E+18;
;8403017;KG00BD1RP616;4,041;1.60743E+18;
;8403017;KG00BD1RP616;4,041;1.60743E+18;
;8403017;KG00BD1RP616;4,038;1.60743E+18;
;8403017;KG00BD1RP616;4,049;1.60743E+18;
;8403017;KG00BD1RP616;4,049;1.60743E+18;
;8403017;KG00BD1RP616;4,049;1.60743E+18;
;8403017;KG00BD1RP616;4,049;1.60743E+18;
;8403017;KG00BD1RP616;4,049;1.60743E+18;
;8403017;KG00BD1RP616;4,046;1.60743E+18;
;8403017;KG00BD1RP616;4,046;1.60743E+18;
;8403017;KG00BD1RP616;4,046;1.60743E+18;
;8403017;KG00BD1RP616;4,046;1.60743E+18;
;8403017;KG00BD1RP616;4,049;1.60743E+18;
;8403017;KG00BD1RP616;4,043;1.60743E+18;
;8403017;KG00BD1RP616;4,043;1.60743E+18;
;8403017;KG00BD1RP616;4,043;1.60743E+18;
;8403017;KG00BD1RP616;4,043;1.60743E+18;
;8403017;KG00BD1RP616;4,043;1.60743E+18;
;8403017;KG00BD1RP616;4,041;1.60743E+18;
;8403017;KG00BD1RP616;4,041;1.60743E+18;
;8403017;KG00BD1RP616;4,043;1.60743E+18;
;8403017;KG00BD1RP616;4,043;1.60743E+18;
;8403017;KG00BD1RP616;4,049;1.60743E+18;
;8403017;KG00BD1RP616;4,049;1.60743E+18;
;8403017;KG00BD1RP616;4,049;1.60743E+18;
;8403017;KG00BD1RP616;4,049;1.60743E+18;
;8403017;KG00BD1RP616;4,054;1.60743E+18;
;8403017;KG00BD1RP616;4,054;1.60743E+18;
;8403017;KG00BD1RP616;4,054;1.60743E+18;
;8403017;KG00BD1RP616;4,054;1.60743E+18;
;8403017;KG00BD1RP616;4,054;1.60743E+18;
;8403017;KG00BD1RP616;4,054;1.60743E+18;
;8403017;KG00BD1RP616;4,056;1.60743E+18;
;8403017;KG00BD1RP616;4,056;1.60743E+18;
;8403017;KG00BD1RP616;4,056;1.60743E+18;
;8403017;KG00BD1RP616;4,061;1.60743E+18;
;8403017;KG00BD1RP616;4,061;1.60743E+18;
;8403017;KG00BD1RP616;4,059;1.60743E+18;
;8403017;KG00BD1RP616;4,059;1.60743E+18;
;8403017;KG00BD1RP616;4,059;1.60743E+18;
;8403017;KG00BD1RP616;4,061;1.60743E+18;
;8403017;KG00BD1RP616;4,056;1.60743E+18;
;8403017;KG00BD1RP616;4,056;1.60743E+18;
;8403017;KG00BD1RP616;4,056;1.60743E+18;
;8403017;KG00BD1RP616;4,064;1.60743E+18;
;8403017;KG00BD1RP616;4,059;1.60744E+18;
;8403017;KG00BD1RP616;4,059;1.60744E+18;
;8403017;KG00BD1RP616;4,059;1.60744E+18;
;8403017;KG00BD1RP616;4,059;1.60744E+18;
;8403017;KG00BD1RP616;4,059;1.60744E+18;
;8403017;KG00BD1RP616;4,059;1.60744E+18;
;8403017;KG00BD1RP616;4,059;1.60744E+18;
;8403017;KG00BD1RP616;4,059;1.60744E+18;
;8403017;KG00BD1RP616;4,056;1.60744E+18;
;8403017;KG00BD1RP616;4,056;1.60744E+18;
;8403017;KG00BD1RP616;4,056;1.60744E+18;
;8403017;KG00BD1RP616;4,056;1.60744E+18;
;8403017;KG00BD1RP616;4,056;1.60744E+18;
;8403017;KG00BD1RP616;4,056;1.60744E+18;
;8403017;KG00BD1RP616;4,056;1.60744E+18;
;8403017;KG00BD1RP616;4,056;1.60744E+18;
;8403017;KG00BD1RP616;4,061;1.60744E+18;
;8403017;KG00BD1RP616;4,064;1.60744E+18;
;8403017;KG00BD1RP616;4,064;1.60744E+18;
;8403017;KG00BD1RP616;4,064;1.60744E+18;
;8403017;KG00BD1RP616;4,069;1.60744E+18;
;8403017;KG00BD1RP616;4,072;1.60744E+18;
;8403017;KG00BD1RP616;4,072;1.60744E+18;
;8403017;KG00BD1RP616;4,069;1.60744E+18;
;8403017;KG00BD1RP616;4,077;1.60744E+18;
;8403017;KG00BD1RP616;4,077;1.60744E+18;
;8403017;KG00BD1RP616;4,077;1.60744E+18;
;8403017;KG00BD1RP616;4,077;1.60744E+18;
;8403017;KG00BD1RP616;4,077;1.60744E+18;
;8403017;KG00BD1RP616;4,077;1.60744E+18;
;8403017;KG00BD1RP616;4,074;1.60744E+18;
;8403017;KG00BD1RP616;4,074;1.60744E+18;
;8403017;KG00BD1RP616;4,077;1.60744E+18;
;8403017;KG00BD1RP616;4,077;1.60744E+18;
;8403017;KG00BD1RP616;4,077;1.60744E+18;
;8403017;KG00BD1RP616;4,072;1.60744E+18;
;8403017;KG00BD1RP616;4,072;1.60744E+18;
;8403017;KG00BD1RP616;4,072;1.60744E+18;
;8403017;KG00BD1RP616;4,069;1.60744E+18;
;8403017;KG00BD1RP616;4,069;1.60744E+18;
;8403017;KG00BD1RP616;4,069;1.60744E+18;
;8403017;KG00BD1RP616;4,069;1.60744E+18;
;8403017;KG00BD1RP616;4,069;1.60744E+18;
;8403017;KG00BD1RP616;4,069;1.60744E+18;
;8403017;KG00BD1RP616;4,069;1.60744E+18;
;8403017;KG00BD1RP616;4,069;1.60744E+18;
;8403017;KG00BD1RP616;4,069;1.60744E+18;
;8403017;KG00BD1RP616;4,069;1.60744E+18;
;8403017;KG00BD1RP616;4,069;1.60744E+18;
;8403017;KG00BD1RP616;4,069;1.60744E+18;
;8403017;KG00BD1RP616;4,067;1.60744E+18;
;8403017;KG00BD1RP616;4,067;1.60744E+18;
;8403017;KG00BD1RP616;4,067;1.60744E+18;
;8403017;KG00BD1RP616;4,067;1.60744E+18;
;8403017;KG00BD1RP616;4,064;1.60744E+18;
;8403017;KG00BD1RP616;4,064;1.60744E+18;
;8403017;KG00BD1RP616;4,064;1.60744E+18;
;8403017;KG00BD1RP616;4,064;1.60744E+18;
;8403017;KG00BD1RP616;4,064;1.60744E+18;
